OD;ORIGEM;DESTINO;PISTA;TURNO;DEMANDA;DISTANCIA
SBSPSBGO;SBSP;SBGO;1940;QUI3;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;QUI3;87;943.26
SBCFSBGO;SBCF;SBGO;3000;QUI3;66;647.42
SBKPSBGO;SBKP;SBGO;3240;QUI3;105;742.08
SBGLSBGO;SBGL;SBGO;4000;QUI3;103;928.98
SBPASBGO;SBPA;SBGO;2280;QUI3;98;1499.14
SBCYSBGO;SBCY;SBGO;2300;QUI3;86;744
SBPJSBGO;SBPJ;SBGO;2500;QUI3;84;711.17
SBCTSBGO;SBCT;SBGO;2218;QUI3;81;989.87
SBGRSBGO;SBGR;SBGO;3700;QUI4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;QUI4;0;822.87
SBRJSBGO;SBRJ;SBGO;1333;QUI4;0;943.26
SBCFSBGO;SBCF;SBGO;3000;QUI4;0;647.42
SBKPSBGO;SBKP;SBGO;3240;QUI4;0;742.08
SBGLSBGO;SBGL;SBGO;4000;QUI4;0;928.98
SBPASBGO;SBPA;SBGO;2280;QUI4;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;QUI4;0;744
SBPJSBGO;SBPJ;SBGO;2500;QUI4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;QUI4;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEX1;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEX1;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SEX1;87;943.26
SBCFSBGO;SBCF;SBGO;3000;SEX1;66;647.42
SBKPSBGO;SBKP;SBGO;3240;SEX1;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SEX1;0;928.98
SBPASBGO;SBPA;SBGO;2280;SEX1;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SEX1;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEX1;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEX1;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEX2;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEX2;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SEX2;0;943.26
SBCFSBGO;SBCF;SBGO;3000;SEX2;0;647.42
SBKPSBGO;SBKP;SBGO;3240;SEX2;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SEX2;0;928.98
SBPASBGO;SBPA;SBGO;2280;SEX2;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SEX2;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEX2;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEX2;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEX3;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEX3;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SEX3;87;943.26
SBCFSBGO;SBCF;SBGO;3000;SEX3;66;647.42
SBKPSBGO;SBKP;SBGO;3240;SEX3;105;742.08
SBGLSBGO;SBGL;SBGO;4000;SEX3;103;928.98
SBPASBGO;SBPA;SBGO;2280;SEX3;98;1499.14
SBCYSBGO;SBCY;SBGO;2300;SEX3;86;744
SBPJSBGO;SBPJ;SBGO;2500;SEX3;84;711.17
SBCTSBGO;SBCT;SBGO;2218;SEX3;81;989.87
SBGRSBGO;SBGR;SBGO;3700;SEX4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;SEX4;0;822.87
SBRJSBGO;SBRJ;SBGO;1333;SEX4;0;943.26
SBCFSBGO;SBCF;SBGO;3000;SEX4;0;647.42
SBKPSBGO;SBKP;SBGO;3240;SEX4;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SEX4;0;928.98
SBPASBGO;SBPA;SBGO;2280;SEX4;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SEX4;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEX4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEX4;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SAB1;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SAB1;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SAB1;87;943.26
SBCFSBGO;SBCF;SBGO;3000;SAB1;66;647.42
SBKPSBGO;SBKP;SBGO;3240;SAB1;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SAB1;0;928.98
SBPASBGO;SBPA;SBGO;2280;SAB1;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SAB1;0;744
SBPJSBGO;SBPJ;SBGO;2500;SAB1;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SAB1;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SAB2;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SAB2;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SAB2;0;943.26
SBCFSBGO;SBCF;SBGO;3000;SAB2;0;647.42
SBKPSBGO;SBKP;SBGO;3240;SAB2;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SAB2;0;928.98
SBPASBGO;SBPA;SBGO;2280;SAB2;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SAB2;0;744
SBPJSBGO;SBPJ;SBGO;2500;SAB2;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SAB2;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SAB3;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SAB3;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;SAB3;87;943.26
SBCFSBGO;SBCF;SBGO;3000;SAB3;66;647.42
SBKPSBGO;SBKP;SBGO;3240;SAB3;105;742.08
SBGLSBGO;SBGL;SBGO;4000;SAB3;103;928.98
SBPASBGO;SBPA;SBGO;2280;SAB3;98;1499.14
SBCYSBGO;SBCY;SBGO;2300;SAB3;86;744
SBPJSBGO;SBPJ;SBGO;2500;SAB3;84;711.17
SBCTSBGO;SBCT;SBGO;2218;SAB3;81;989.87
SBGRSBGO;SBGR;SBGO;3700;SAB4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;SAB4;0;822.87
SBRJSBGO;SBRJ;SBGO;1333;SAB4;0;943.26
SBCFSBGO;SBCF;SBGO;3000;SAB4;0;647.42
SBKPSBGO;SBKP;SBGO;3240;SAB4;0;742.08
SBGLSBGO;SBGL;SBGO;4000;SAB4;0;928.98
SBPASBGO;SBPA;SBGO;2280;SAB4;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;SAB4;0;744
SBPJSBGO;SBPJ;SBGO;2500;SAB4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SAB4;0;989.87
SBGRSBGO;SBGR;SBGO;3700;DOM1;134;809.52
SBSPSBGO;SBSP;SBGO;1940;DOM1;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;DOM1;87;943.26
SBCFSBGO;SBCF;SBGO;3000;DOM1;66;647.42
SBKPSBGO;SBKP;SBGO;3240;DOM1;0;742.08
SBGLSBGO;SBGL;SBGO;4000;DOM1;0;928.98
SBPASBGO;SBPA;SBGO;2280;DOM1;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;DOM1;0;744
SBPJSBGO;SBPJ;SBGO;2500;DOM1;0;711.17
SBCTSBGO;SBCT;SBGO;2218;DOM1;0;989.87
SBGRSBGO;SBGR;SBGO;3700;DOM2;134;809.52
SBSPSBGO;SBSP;SBGO;1940;DOM2;124;822.87
SBRJSBGO;SBRJ;SBGO;1333;DOM2;0;943.26
SBCFSBGO;SBCF;SBGO;3000;DOM2;0;647.42
SBKPSBGO;SBKP;SBGO;3240;DOM2;0;742.08
SBGLSBGO;SBGL;SBGO;4000;DOM2;0;928.98
SBPASBGO;SBPA;SBGO;2280;DOM2;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;DOM2;0;744
SBPJSBGO;SBPJ;SBGO;2500;DOM2;0;711.17
SBCTSBGO;SBCT;SBGO;2218;DOM2;0;989.87
SBGRSBGO;SBGR;SBGO;3700;DOM3;133;809.52
SBSPSBGO;SBSP;SBGO;1940;DOM3;117;822.87
SBRJSBGO;SBRJ;SBGO;1333;DOM3;88;943.26
SBCFSBGO;SBCF;SBGO;3000;DOM3;74;647.42
SBKPSBGO;SBKP;SBGO;3240;DOM3;107;742.08
SBGLSBGO;SBGL;SBGO;4000;DOM3;106;928.98
SBPASBGO;SBPA;SBGO;2280;DOM3;103;1499.14
SBCYSBGO;SBCY;SBGO;2300;DOM3;90;744
SBPJSBGO;SBPJ;SBGO;2500;DOM3;85;711.17
SBCTSBGO;SBCT;SBGO;2218;DOM3;84;989.87
SBGRSBGO;SBGR;SBGO;3700;DOM4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;DOM4;0;822.87
SBRJSBGO;SBRJ;SBGO;1333;DOM4;0;943.26
SBCFSBGO;SBCF;SBGO;3000;DOM4;0;647.42
SBKPSBGO;SBKP;SBGO;3240;DOM4;0;742.08
SBGLSBGO;SBGL;SBGO;4000;DOM4;0;928.98
SBPASBGO;SBPA;SBGO;2280;DOM4;0;1499.14
SBCYSBGO;SBCY;SBGO;2300;DOM4;0;744
SBPJSBGO;SBPJ;SBGO;2500;DOM4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;DOM4;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG1;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG1;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG1;86;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG1;84;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG1;81;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG2;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG2;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG2;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG2;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG2;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG3;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG3;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG3;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG3;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG3;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG4;0;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG4;0;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG4;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG4;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG4;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG1;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG1;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG1;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG1;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG1;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG2;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG2;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG2;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG2;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG2;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG3;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG3;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG3;86;744
SBPJSBGO;SBPJ;SBGO;2500;SEG3;84;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG3;81;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG4;0;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG4;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG4;0;989.87
